waypoint1	waypoint2	distance_m	duration_s
Nashville, TN	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	1586961	51071
Carlsbad, NM	Memphis, TN	1462562	47998
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	St. Louis, MO	1092637	35409
Richmond, VA	Yellowstone National Park Visitor Center	3494204	118867
Flagstaff, AZ	Terlingua, TX	1323265	46046
Tupelo, MS	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	631961	24303
Page, AZ	Savannah, GA	3255312	106405
Linville, NC	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	3406231	110759
Chambers, AZ	Great Sand Dunes Visitor Center, Mosca, CO	676018	23366
Dallas, TX	Tupelo, MS	897841	29585
Teasdale, UT	Memphis, TN	2384555	80892
Dallas, TX	New Orleans, LA	814946	26945
Chattanooga, TN	Teasdale, UT	2792617	90895
New Orleans, LA	Las Vegas, NV	2774308	89837
Chattanooga, TN	Fajada Butte View Point, Nageezi, NM 87037	2408257	79961
Indianola, MS	Spokane, WA	3568608	114263
Richmond, VA	Tulsa, OK	1955564	63318
Albuquerque, NM	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	2369430	78800
Kansas City, MO	Bryce Canyon National Park Visitor Center, Bryce, UT	1879449	60817
Page, AZ	Dallas, TX	1667364	55889
Chattanooga, TN	Carlsbad, NM	1997150	64470
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Chambers, AZ	600256	21693
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Black Canyon of the Gunnison National Park, Montrose, CO	757315	26022
Lafayette, LA	Las Cruces, NM	1620947	51028
Las Cruces, NM	Great Sand Dunes Visitor Center, Mosca, CO	737856	25240
Co Road 7515, Bloomfield, NM 87413	Grand Canyon National Park	476905	18202
Oklahoma City, OK	Chambers, AZ	1169274	36950
Savannah, GA	New Orleans, LA	1032361	34396
Oklahoma City, OK	C R 268A, Montezuma Creek, UT 84534	1321476	44997
Yellowstone National Park Visitor Center	Grand Canyon National Park	1174702	41344
Nashville, TN	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	2777962	92921
Oklahoma City, OK	Tupelo, MS	921165	30366
Albuquerque, NM	Natural Bridges Rd, Lake Powell, UT 84533	553549	21012
Chinle, AZ	Oljato-Monument Valley, UT	147962	6913
St. Louis, MO	Tulsa, OK	635041	20773
Tulsa, OK	Black Canyon of the Gunnison National Park, Montrose, CO	1296483	48258
Flagstaff, AZ	Las Vegas, NV	401141	13375
Spokane, WA	Yellowstone National Park Visitor Center	792123	28720
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Lafayette, LA	2094546	71115
Nashville, TN	Albuquerque, NM	1959115	62819
Albuquerque, NM	Yellowstone National Park Visitor Center	1525001	54189
Chinle, AZ	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	455255	18565
Oljato-Monument Valley, UT	Little Rock, AR	1924395	63866
Indianola, MS	Las Vegas, NV	2605774	84737
Page, AZ	Chattanooga, TN	2786346	91118
Indianola, MS	Co Road 7515, Bloomfield, NM 87413	1919460	64259
Kansas City, MO	Dallas, TX	894377	28459
St. Louis, MO	Grand Canyon National Park	2301258	73867
Dallas, TX	Charleston, SC	1752326	56796
Dallas, TX	Little Rock, AR	514162	16649
Albuquerque, NM	Black Canyon of the Gunnison National Park, Montrose, CO	537944	22401
Chimayo, NM	Asheville, NC	2466275	80698
Little Rock, AR	Las Vegas, NV	2334702	74525
Las Cruces, NM	Las Vegas, NV	1103697	36207
Tulsa, OK	Teasdale, UT	1837752	60064
Chattanooga, TN	Las Vegas, NV	3084862	98658
Little Rock, AR	Co Road 7515, Bloomfield, NM 87413	1648388	54046
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	3295576	108663
Bryce Canyon National Park Visitor Center, Bryce, UT	Great Sand Dunes Visitor Center, Mosca, CO	939527	34878
Great Sand Dunes Visitor Center, Mosca, CO	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	540946	22018
Oklahoma City, OK	Asheville, NC	1563095	51367
Oljato-Monument Valley, UT	Yellowstone National Park Visitor Center	1172136	41477
Silverton, CO	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	287284	13560
Bryce Canyon National Park Visitor Center, Bryce, UT	Natural Bridges Rd, Lake Powell, UT 84533	414519	19078
Atlanta, GA	Charleston, SC	495469	16834
Albuquerque, NM	Tupelo, MS	1788604	57655
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Nashville, TN	2384487	80166
Bryce Canyon National Park Visitor Center, Bryce, UT	Charleston, SC	3650963	118522
Page, AZ	Chinle, AZ	267604	10941
Yellowstone National Park Visitor Center	Las Vegas, NV	1240676	40414
Bryce Canyon National Park Visitor Center, Bryce, UT	Las Cruces, NM	1198212	41842
Carlsbad, NM	Little Rock, AR	1249154	40998
Chimayo, NM	Tupelo, MS	1824345	59697
Dallas, TX	Savannah, GA	1655610	52791
San Antonio, TX	Chambers, AZ	1441286	47220
Bryce Canyon National Park Visitor Center, Bryce, UT	Savannah, GA	3562132	114887
Tulsa, OK	Savannah, GA	1657543	53916
Dallas, TX	Teasdale, UT	1807700	63072
Linville, NC	Co Road 7515, Bloomfield, NM 87413	2714424	89776
Asheville, NC	Las Vegas, NV	3351314	108026
Page, AZ	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	187705	7886
Albuquerque, NM	Chimayo, NM	146351	5479
Spokane, WA	Terlingua, TX	3035520	101831
New Orleans, LA	Great Sand Dunes Visitor Center, Mosca, CO	1956120	65714
Fajada Butte View Point, Nageezi, NM 87037	Natural Bridges Rd, Lake Powell, UT 84533	378330	17123
San Antonio, TX	Dallas, TX	440505	14906
Memphis, TN	Charleston, SC	1111088	36978
Bryce Canyon National Park Visitor Center, Bryce, UT	Co Road 7515, Bloomfield, NM 87413	675382	25574
Flagstaff, AZ	Las Cruces, NM	765549	26356
Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	2828160	93503
Nashville, TN	Asheville, NC	473828	16212
Flagstaff, AZ	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	401159	15688
Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	Charleston, SC	3303106	106717
Albuquerque, NM	Little Rock, AR	1413262	45022
Black Canyon of the Gunnison National Park, Montrose, CO	Asheville, NC	2670435	89994
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	241509	11148
Lafayette, LA	Black Canyon of the Gunnison National Park, Montrose, CO	2023781	69958
Oklahoma City, OK	Chinle, AZ	1238196	40599
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Fajada Butte View Point, Nageezi, NM 87037	666491	27227
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	St. Louis, MO	2394932	77198
Oljato-Monument Valley, UT	Co Road 7515, Bloomfield, NM 87413	308710	12204
Albuquerque, NM	Las Cruces, NM	360082	11415
Oklahoma City, OK	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	1688241	57924
Dallas, TX	Co Road 7515, Bloomfield, NM 87413	1274647	42795
Chattanooga, TN	Savannah, GA	588050	18935
Kansas City, MO	Chambers, AZ	1568440	52913
Bryce Canyon National Park Visitor Center, Bryce, UT	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	3109344	101377
Silverton, CO	Charleston, SC	3145688	104419
Fajada Butte View Point, Nageezi, NM 87037	Tulsa, OK	1284602	43682
Tulsa, OK	Co Road 7515, Bloomfield, NM 87413	1274894	41900
Carlsbad, NM	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2146986	71148
Tulsa, OK	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	1675037	53590
Chattanooga, TN	Memphis, TN	542572	17575
Savannah, GA	St. Louis, MO	1289805	41579
Indianola, MS	Tupelo, MS	251650	9846
Flagstaff, AZ	Fajada Butte View Point, Nageezi, NM 87037	448566	19210
Flagstaff, AZ	Charleston, SC	3245399	104544
Linville, NC	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	186022	8406
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Bryce Canyon National Park Visitor Center, Bryce, UT	1874085	62489
Oklahoma City, OK	Black Canyon of the Gunnison National Park, Montrose, CO	1179994	43632
Lafayette, LA	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	1194780	39806
St. Louis, MO	Black Canyon of the Gunnison National Park, Montrose, CO	1708560	58661
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Natural Bridges Rd, Lake Powell, UT 84533	248160	11885
Tulsa, OK	Atlanta, GA	1259683	41491
Chattanooga, TN	Spokane, WA	3610592	117782
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Yellowstone National Park Visitor Center	1065139	35751
Page, AZ	C R 268A, Montezuma Creek, UT 84534	344529	12950
Terlingua, TX	Memphis, TN	1654302	55008
Indianola, MS	Little Rock, AR	278089	10669
Richmond, VA	Savannah, GA	750053	23660
Dallas, TX	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	1411994	46799
Linville, NC	Richmond, VA	532994	18546
Teasdale, UT	Natural Bridges Rd, Lake Powell, UT 84533	247227	10876
Richmond, VA	Terlingua, TX	2981386	98034
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Kansas City, MO	1440794	52685
Spokane, WA	Little Rock, AR	3297537	104050
Tulsa, OK	Las Vegas, NV	1961208	62378
Page, AZ	San Antonio, TX	1769000	60102
Lafayette, LA	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	2261121	75060
Dallas, TX	Tulsa, OK	415561	14978
Nashville, TN	Linville, NC	523251	18440
St. Louis, MO	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	837017	28070
Flagstaff, AZ	Page, AZ	207865	7970
Oklahoma City, OK	Las Cruces, NM	1081443	36569
Albuquerque, NM	Terlingua, TX	917798	31105
Nashville, TN	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	346331	12527
Linville, NC	Black Canyon of the Gunnison National Park, Montrose, CO	2719859	92222
Page, AZ	Indianola, MS	2311051	77191
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Tupelo, MS	2216259	75210
Chambers, AZ	Natural Bridges Rd, Lake Powell, UT 84533	371152	14165
Page, AZ	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	1970862	66405
Carlsbad, NM	Tulsa, OK	1015137	33786
Teasdale, UT	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2924203	96047
Kansas City, MO	Asheville, NC	1360855	44579
C R 268A, Montezuma Creek, UT 84534	Las Vegas, NV	768038	28560
Carlsbad, NM	San Antonio, TX	725609	23500
Oklahoma City, OK	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	991092	34838
Linville, NC	Spokane, WA	3917286	128845
Spokane, WA	Atlanta, GA	3795573	123715
San Antonio, TX	Little Rock, AR	954016	31189
St. Louis, MO	Tupelo, MS	595409	20383
San Antonio, TX	Charleston, SC	2077925	67150
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	New Orleans, LA	2052191	68421
Memphis, TN	New Orleans, LA	635723	20411
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	New Orleans, LA	2279421	77845
Savannah, GA	Great Sand Dunes Visitor Center, Mosca, CO	2689189	89426
Linville, NC	Teasdale, UT	3101958	102037
Chattanooga, TN	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	2589975	86666
Little Rock, AR	Tupelo, MS	391465	13502
Silverton, CO	Las Cruces, NM	778479	27272
Savannah, GA	Natural Bridges Rd, Lake Powell, UT 84533	3178589	104876
Flagstaff, AZ	Indianola, MS	2204421	71326
Chimayo, NM	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	574185	22777
Dallas, TX	Las Vegas, NV	1960961	63273
Linville, NC	Chimayo, NM	2516253	82901
C R 268A, Montezuma Creek, UT 84534	Yellowstone National Park Visitor Center	1132598	40978
Fajada Butte View Point, Nageezi, NM 87037	Memphis, TN	1862617	62427
Chambers, AZ	Asheville, NC	2728706	87763
Kansas City, MO	Savannah, GA	1687019	54313
Nashville, TN	Great Sand Dunes Visitor Center, Mosca, CO	2011026	66261
Linville, NC	Savannah, GA	551189	19673
Black Canyon of the Gunnison National Park, Montrose, CO	Las Cruces, NM	893635	33196
Carlsbad, NM	Teasdale, UT	1216258	44487
Savannah, GA	Co Road 7515, Bloomfield, NM 87413	2865072	93450
Little Rock, AR	Grand Canyon National Park	2043510	65646
Lafayette, LA	Las Vegas, NV	2589433	83107
Nashville, TN	Las Cruces, NM	2162182	69328
Linville, NC	Las Vegas, NV	3400738	110255
Lafayette, LA	Dallas, TX	629142	19957
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Yellowstone National Park Visitor Center	1257522	45110
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Indianola, MS	2110886	72745
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Little Rock, AR	1839815	62532
San Antonio, TX	Asheville, NC	1925686	62727
Spokane, WA	Charleston, SC	4281016	140046
Carlsbad, NM	Kansas City, MO	1412619	45826
Spokane, WA	Memphis, TN	3232784	108115
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Chimayo, NM	401814	18057
Lafayette, LA	St. Louis, MO	1158448	37955
St. Louis, MO	Great Sand Dunes Visitor Center, Mosca, CO	1516702	50599
San Antonio, TX	Nashville, TN	1508205	49289
St. Louis, MO	Co Road 7515, Bloomfield, NM 87413	1906136	62268
Little Rock, AR	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	2005408	66506
Nashville, TN	Tupelo, MS	344981	12772
Oljato-Monument Valley, UT	Spokane, WA	1767367	58415
Kansas City, MO	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	1531592	49012
Chinle, AZ	Natural Bridges Rd, Lake Powell, UT 84533	254472	9931
Fajada Butte View Point, Nageezi, NM 87037	Yellowstone National Park Visitor Center	1351559	50193
San Antonio, TX	Black Canyon of the Gunnison National Park, Montrose, CO	1618608	57056
Flagstaff, AZ	Richmond, VA	3464674	110870
Carlsbad, NM	Lafayette, LA	1365095	44079
Linville, NC	C R 268A, Montezuma Creek, UT 84534	2932561	98090
Chinle, AZ	Indianola, MS	2054317	68175
Linville, NC	Memphis, TN	862625	29306
Charleston, SC	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	568425	20178
Kansas City, MO	Linville, NC	1410279	46807
Chattanooga, TN	Tulsa, OK	1188578	38629
Grand Canyon National Park	Las Vegas, NV	435200	14587
Chattanooga, TN	Linville, NC	413874	14858
Richmond, VA	Fajada Butte View Point, Nageezi, NM 87037	3189767	105530
Savannah, GA	Grand Canyon National Park	3260193	105049
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2728930	92349
Page, AZ	Spokane, WA	1778805	57364
C R 268A, Montezuma Creek, UT 84534	Silverton, CO	220383	10860
Bryce Canyon National Park Visitor Center, Bryce, UT	New Orleans, LA	2730528	91846
New Orleans, LA	Grand Canyon National Park	2483116	80958
Chinle, AZ	Las Vegas, NV	693571	23591
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Bryce Canyon National Park Visitor Center, Bryce, UT	138383	6462
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Black Canyon of the Gunnison National Park, Montrose, CO	1382530	48776
Chattanooga, TN	Silverton, CO	2580006	85127
St. Louis, MO	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	903690	32001
St. Louis, MO	Silverton, CO	1819163	63558
San Antonio, TX	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	1852264	60662
Nashville, TN	Kansas City, MO	893304	28908
Page, AZ	Chimayo, NM	652140	24721
Chattanooga, TN	Little Rock, AR	766573	25014
Tulsa, OK	New Orleans, LA	1055220	36603
Page, AZ	Oljato-Monument Valley, UT	195805	6942
Chinle, AZ	Memphis, TN	1987766	64561
C R 268A, Montezuma Creek, UT 84534	Charleston, SC	3179651	105817
Asheville, NC	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	155272	6748
C R 268A, Montezuma Creek, UT 84534	Little Rock, AR	1866526	62360
Carlsbad, NM	C R 268A, Montezuma Creek, UT 84534	902174	32327
Lafayette, LA	Linville, NC	1358751	45744
Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	Yellowstone National Park Visitor Center	3074942	107515
Page, AZ	Lafayette, LA	2294861	75565
Richmond, VA	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	678744	23276
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	1993281	66874
Memphis, TN	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	751542	27247
Dallas, TX	Las Cruces, NM	1095476	34861
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	2795196	96167
Nashville, TN	Tulsa, OK	987232	32320
Linville, NC	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	229070	9726
Flagstaff, AZ	Oljato-Monument Valley, UT	277438	10177
Silverton, CO	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	2788976	94799
Co Road 7515, Bloomfield, NM 87413	Las Cruces, NM	593873	19987
Albuquerque, NM	Teasdale, UT	770608	29723
St. Louis, MO	New Orleans, LA	1088281	35043
Nashville, TN	Richmond, VA	988886	32412
Flagstaff, AZ	Co Road 7515, Bloomfield, NM 87413	520879	18425
Chambers, AZ	Grand Canyon National Park	330626	11188
Bryce Canyon National Park Visitor Center, Bryce, UT	Tupelo, MS	2664354	88938
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Great Sand Dunes Visitor Center, Mosca, CO	368601	17287
Carlsbad, NM	Co Road 7515, Bloomfield, NM 87413	684036	24013
San Antonio, TX	Bryce Canyon National Park Visitor Center, Bryce, UT	2018863	69396
Chambers, AZ	Indianola, MS	1983337	64309
Carlsbad, NM	Great Sand Dunes Visitor Center, Mosca, CO	720174	26212
Chinle, AZ	Co Road 7515, Bloomfield, NM 87413	307994	12431
Albuquerque, NM	St. Louis, MO	1670959	53424
Richmond, VA	Atlanta, GA	853563	27758
Carlsbad, NM	St. Louis, MO	1646369	54080
Great Sand Dunes Visitor Center, Mosca, CO	Charleston, SC	2785631	93479
Lafayette, LA	Charleston, SC	1420442	46295
Oklahoma City, OK	Co Road 7515, Bloomfield, NM 87413	1103339	36683
Flagstaff, AZ	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	2888686	94924
Black Canyon of the Gunnison National Park, Montrose, CO	Yellowstone National Park Visitor Center	1134248	39899
Oklahoma City, OK	Lafayette, LA	956833	30982
C R 268A, Montezuma Creek, UT 84534	New Orleans, LA	2306131	77672
Dallas, TX	Fajada Butte View Point, Nageezi, NM 87037	1284356	44577
Spokane, WA	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	1527060	49399
Lafayette, LA	Yellowstone National Park Visitor Center	2758729	97258
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Black Canyon of the Gunnison National Park, Montrose, CO	281000	14236
Lafayette, LA	Nashville, TN	1035619	33685
St. Louis, MO	Bryce Canyon National Park Visitor Center, Bryce, UT	2275565	73736
Albuquerque, NM	Savannah, GA	2629426	84415
Flagstaff, AZ	C R 268A, Montezuma Creek, UT 84534	426162	16185
Tulsa, OK	Charleston, SC	1754260	57921
San Antonio, TX	Albuquerque, NM	1143114	38113
San Antonio, TX	Chimayo, NM	1178867	40132
Page, AZ	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	2995316	100790
Dallas, TX	Chimayo, NM	1077218	35942
Oljato-Monument Valley, UT	Asheville, NC	2941668	97500
Dallas, TX	Natural Bridges Rd, Lake Powell, UT 84533	1590641	54361
Oljato-Monument Valley, UT	Tupelo, MS	2299738	76499
Oklahoma City, OK	Kansas City, MO	569768	17880
Chambers, AZ	Tulsa, OK	1337899	42236
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Great Sand Dunes Visitor Center, Mosca, CO	884120	34840
Page, AZ	Teasdale, UT	395379	16394
Grand Canyon National Park	Charleston, SC	3356635	109102
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Silverton, CO	683363	26738
Co Road 7515, Bloomfield, NM 87413	Terlingua, TX	1151867	40159
Tupelo, MS	Las Vegas, NV	2711146	87202
Co Road 7515, Bloomfield, NM 87413	Atlanta, GA	2467473	80956
Flagstaff, AZ	Nashville, TN	2478371	78943
Chimayo, NM	Yellowstone National Park Visitor Center	1319850	53956
