waypoint1	waypoint2	distance_m	duration_s
Tillamook, OR	Great Sand Dunes Visitor Center, Mosca, CO	2219534	77987
Glacier National Park	Chattanooga, TN	3346346	110815
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Terlingua, TX	2278893	77984
Spokane, WA	Manzanar, Manzanar Reward Rd, California	1600686	57172
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Great Sand Dunes Visitor Center, Mosca, CO	1638231	59267
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Richmond, VA	4563148	149368
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Charleston, SC	4571733	148690
Glacier National Park	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	1546436	50496
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Glacier National Park	2303809	77669
Tahoe City, CA	Albuquerque, NM	1724077	57296
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Carlsbad, NM	1562100	51721
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	C R 268A, Montezuma Creek, UT 84534	1007113	35852
